Resource,Resource_type,Zone,Cluster,StartCap,RetCap,RetroCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,RetroEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,RetroChargeCap,NewChargeCap,EndChargeCap
natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,1,3,4644,0,0,0,4644,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_3,Natural Gas Fired Combined Cycle,1,4,746,0,0,0,746,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_4,Natural Gas Fired Combined Cycle,1,5,704,0,0,0,704,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_5,Natural Gas Fired Combined Cycle,1,6,4029,0,0,0,4029,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_6,Natural Gas Fired Combined Cycle,1,7,1740,0,0,0,1740,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_7,Natural Gas Fired Combined Cycle,1,8,1031,0,0,0,1031,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_8,Natural Gas Fired Combined Cycle,1,9,8055.999999999999,0,0,0,8055.999999999999,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_9,Natural Gas Fired Combined Cycle,1,10,532,0,0,0,532,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_10,Natural Gas Fired Combined Cycle,1,11,237,0,0,0,237,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_11,Natural Gas Fired Combined Cycle,1,12,1188,0,0,0,1188,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_12,Natural Gas Fired Combined Cycle,1,13,1026,0,0,0,1026,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_13,Natural Gas Fired Combined Cycle,1,14,7481,0,0,0,7481,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle_14,Natural Gas Fired Combined Cycle,1,15,824,0,0,0,824,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,Natural Gas Fired Combustion Turbine,1,16,741,0,0,0,741,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,17,1073,0,0,0,1073,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,1,18,81,0,0,0,81,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_3,Natural Gas Fired Combustion Turbine,1,19,180,0,0,0,180,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_4,Natural Gas Fired Combustion Turbine,1,20,91,0,0,0,91,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_5,Natural Gas Fired Combustion Turbine,1,21,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_6,Natural Gas Fired Combustion Turbine,1,22,354,0,0,0,354,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_7,Natural Gas Fired Combustion Turbine,1,23,557,0,0,0,557,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_8,Natural Gas Fired Combustion Turbine,1,24,1539,0,0,0,1539,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_9,Natural Gas Fired Combustion Turbine,1,25,846,0,0,0,846,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_10,Natural Gas Fired Combustion Turbine,1,26,336,0,0,0,336,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_11,Natural Gas Fired Combustion Turbine,1,27,208,0,0,0,208,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_12,Natural Gas Fired Combustion Turbine,1,28,547,0,0,0,547,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_13,Natural Gas Fired Combustion Turbine,1,29,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_14,Natural Gas Fired Combustion Turbine,1,30,276,0,0,0,276,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine_15,Natural Gas Fired Combustion Turbine,1,31,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine,Natural Gas Steam Turbine,1,32,825,0,0,0,825,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,33,521,521,0,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_2,Natural Gas Steam Turbine,1,34,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_3,Natural Gas Steam Turbine,1,35,1326,0,0,0,1326,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_4,Natural Gas Steam Turbine,1,36,167,0,0,0,167,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_5,Natural Gas Steam Turbine,1,37,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_6,Natural Gas Steam Turbine,1,38,2160,0,0,0,2160,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_7,Natural Gas Steam Turbine,1,39,1265,0,0,0,1265,0,0,0,0,0,0,0,0,0,0
