BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.20366354391702e8,1.368177942832231e6,-1.6169567581605087e6,0.0,0.0,0.0,0.0,0.0,0.0,-4.2011757557637334e8
t1,40870.86666302014,0.0,-235.29666302014223,0.0,-0.0,0.0,0.0,0.0,0.0,-40635.57
t2,40937.80928077604,0.0,-122.23928077605403,0.0,-0.0,0.0,0.0,0.0,0.0,-40815.57
t3,41388.799441106894,0.0,-531.2294411069059,0.0,-0.0,0.0,0.0,0.0,0.0,-40857.57
t4,40982.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40982.57
t5,41460.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41460.57
t6,42403.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42403.57
t7,43502.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43502.57
t8,44035.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44035.57
t9,44272.89622110015,283.67377889985335,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44556.57
t10,45380.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45380.57
t11,46079.36910373199,0.0,-206.79910373198572,0.0,-0.0,0.0,0.0,0.0,0.0,-45872.57
t12,47315.170223544825,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-45920.57
t13,46892.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-45497.57
t14,46382.170223544825,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-44987.57
t15,44597.69126958464,0.0,-0.12126958465619657,0.0,-0.0,0.0,0.0,0.0,0.0,-44597.57
t16,44622.69126958465,0.0,-0.12126958465619657,0.0,-0.0,0.0,0.0,0.0,0.0,-44622.57
t17,45460.69126958464,0.0,-0.12126958465619657,0.0,-0.0,0.0,0.0,0.0,0.0,-45460.57
t18,47705.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47705.57
t19,47670.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49065.57
t20,48103.225482778485,806.344517221509,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48909.57
t21,48048.82991916057,453.7400808394292,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48502.57
t22,47546.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47546.57
t23,45828.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45828.57
t24,44094.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44094.57
t25,42829.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42829.57
t26,42151.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42151.57
t27,42006.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42006.57
t28,42408.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42408.57
t29,43666.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43666.57
t30,46111.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46111.57
t31,48963.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48963.57
t32,50030.637671400036,1081.9323285999576,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51112.57
t33,50859.969776455146,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52254.57
t34,53401.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53401.57
t35,54417.56999999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54417.57
t36,54999.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54999.57
t37,55159.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55159.57
t38,55200.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55200.57
t39,55555.917507864026,0.0,-549.3475078640357,0.0,-0.0,0.0,0.0,0.0,0.0,-55006.57
t40,55616.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54890.57
t41,55965.416009686305,0.0,-839.846009686316,0.0,-0.0,0.0,0.0,0.0,0.0,-55125.57
t42,56083.96501648188,395.60498351811407,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-56479.57
t43,55652.96977645515,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-57047.57
t44,56066.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-56066.57
t45,54783.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54783.57
t46,52909.56999999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52909.57
t47,50309.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50309.57
t48,47937.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47937.57
t49,46272.46835839253,0.0,-175.89835839254243,0.0,-0.0,0.0,0.0,0.0,0.0,-46096.57
t50,46142.565998935,0.0,-1084.995998935015,0.0,-0.0,0.0,0.0,0.0,0.0,-45057.57
t51,45686.172778096414,0.0,-1017.6027780964195,0.0,-0.0,0.0,0.0,0.0,0.0,-44668.57
t52,46021.17022354483,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-44626.57
t53,46936.6345886401,0.0,-1317.064588640104,0.0,-0.0,0.0,0.0,0.0,0.0,-45619.57
t54,47671.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47671.57
t55,50252.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50252.57
t56,51958.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51958.57
t57,52393.56999999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52393.57
t58,53054.99408570128,0.0,-447.42408570128424,0.0,-0.0,0.0,0.0,0.0,0.0,-52607.57
t59,53366.21868535073,0.0,-626.6486853507473,0.0,-0.0,0.0,0.0,0.0,0.0,-52739.57
t60,52247.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52247.57
t61,51185.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51185.57
t62,49989.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49989.57
t63,48878.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48878.57
t64,48184.17632366984,0.0,-0.6063236698488699,0.0,-0.0,0.0,0.0,0.0,0.0,-48183.57
t65,48429.69126958464,0.0,-0.12126958465619657,0.0,-0.0,0.0,0.0,0.0,0.0,-48429.57
t66,49208.84884447203,983.7211555279654,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50192.57
t67,50908.96977645517,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52303.57
t68,51129.969776455146,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52524.57
t69,51550.789652566484,804.7803474335112,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52355.57
t70,51461.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51461.57
t71,49693.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49693.57
t72,47840.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47840.57
t73,46696.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46696.57
t74,46566.42392946748,0.0,-423.85392946748124,0.0,-0.0,0.0,0.0,0.0,0.0,-46142.57
t75,46044.97993242157,0.0,-52.40993242156355,0.0,-0.0,0.0,0.0,0.0,0.0,-45992.57
t76,46361.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46361.57
t77,47346.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47346.57
t78,49692.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49692.57
t79,52534.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52534.57
t80,53889.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53889.57
t81,52052.48978356946,957.0802164305421,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53009.57
t82,50798.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50798.57
t83,48706.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48706.57
t84,46492.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46492.57
t85,44828.854510015895,0.0,-485.28451001590275,0.0,-0.0,0.0,0.0,0.0,0.0,-44343.57
t86,44170.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-42775.57
t87,42913.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-41518.57
t88,42005.170223544854,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-40610.57
t89,41694.17022354483,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-40299.57
t90,41520.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41520.57
t91,42641.57383368277,1103.9961663172307,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43745.57
t92,43205.35032536237,919.2196746376222,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44124.57
t93,42926.96977645515,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44321.57
t94,43097.20762194317,1076.3623780568287,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44173.57
t95,43367.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43367.57
t96,42211.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42211.57
t97,41366.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41366.57
t98,41060.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41060.57
t99,41128.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41128.57
t100,41622.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41622.57
t101,42504.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42504.57
t102,43997.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43997.57
t103,45938.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45938.57
t104,46991.92616455836,551.643835441629,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47543.57
t105,47419.774966915014,85.79503308498097,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47505.57
t106,45629.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45629.57
t107,43415.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43415.57
t108,41342.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41342.57
t109,39734.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39734.57
t110,39487.855587449965,0.0,-869.2855874499633,0.0,-0.0,0.0,0.0,0.0,0.0,-38618.57
t111,39282.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-37887.57
t112,38876.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-37481.57
t113,37612.90084252318,0.0,-207.33084252318247,0.0,-0.0,0.0,0.0,0.0,0.0,-37405.57
t114,36947.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38342.57
t115,38809.969776455146,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40204.57
t116,39882.76525691614,351.8047430838578,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40234.57
t117,39837.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39837.57
t118,39602.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39602.57
t119,38864.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38864.57
t120,38036.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38036.57
t121,37004.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37004.57
t122,36411.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36411.57
t123,36192.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36192.57
t124,36344.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36344.57
t125,36874.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36874.57
t126,37811.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37811.57
t127,39202.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39202.57
t128,40156.80677586789,130.76322413211875,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40287.57
t129,40919.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40919.57
t130,40541.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40541.57
t131,39630.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39630.57
t132,39000.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39000.57
t133,39175.17022354484,0.0,-668.6002235448425,0.0,-0.0,0.0,0.0,0.0,0.0,-38506.57
t134,38668.881254292304,0.0,-485.3112542922901,0.0,-0.0,0.0,0.0,0.0,0.0,-38183.57
t135,38533.57,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37807.57
t136,39096.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-37701.57
t137,39310.17022354485,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-37915.57
t138,40405.17022354485,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-39010.57
t139,40345.47172851643,500.09827148357186,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40845.57
t140,40819.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40819.57
t141,40126.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40126.57
t142,38934.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38934.57
t143,37037.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37037.57
t144,34924.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-34924.57
t145,33535.337419694384,0.0,-123.76741969438632,0.0,-0.0,0.0,0.0,0.0,0.0,-33411.57
t146,32382.53589651231,0.0,-47.96589651230696,0.0,-0.0,0.0,0.0,0.0,0.0,-32334.57
t147,32370.692748118017,0.0,-420.1227481180181,0.0,-0.0,0.0,0.0,0.0,0.0,-31950.57
t148,31888.613554264815,0.0,-0.04355426481151692,0.0,-0.0,0.0,0.0,0.0,0.0,-31888.57
t149,32684.569999999992,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32684.57
t150,34647.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-34647.57
t151,37681.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37681.57
t152,39143.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39143.57
t153,39379.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39379.57
t154,39755.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39755.57
t155,40271.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40271.57
t156,40512.61779165527,0.0,-1.047791655262152,0.0,-0.0,0.0,0.0,0.0,0.0,-40511.57
t157,40684.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40684.57
t158,40959.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40959.57
t159,40974.65754919091,0.0,-0.08754919091189334,0.0,-0.0,0.0,0.0,0.0,0.0,-40974.57
t160,40812.96751634653,0.0,-0.3975163465403314,0.0,-0.0,0.0,0.0,0.0,0.0,-40812.57
t161,40594.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40594.57
t162,41237.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41237.57
t163,41523.969776455146,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42918.57
t164,41221.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42616.57
t165,40275.96977645515,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41670.57
t166,40240.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40240.57
t167,38014.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38014.57
t168,35677.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35677.57
t169,54498.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54498.57
t170,54337.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54337.57
t171,54621.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54621.57
t172,55106.539878509466,209.03012149053126,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55315.57
t173,56221.94833883715,738.6216611628384,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-56960.57
t174,58758.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-60153.57
t175,62768.96977645515,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-64163.56999999999
t176,63124.96977645515,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-64519.57
t177,62246.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-62246.57
t178,59963.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-59963.57
t179,57674.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-57674.57
t180,55253.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55253.57
t181,52714.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52714.57
t182,50531.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50531.57
t183,49856.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-48461.57
t184,48713.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-47318.57
t185,48686.17022354483,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-47291.57
t186,49953.17022354485,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-48558.57
t187,52104.92725309065,0.0,-485.3572530906579,0.0,-0.0,0.0,0.0,0.0,0.0,-51619.57
t188,54156.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54156.57
t189,54582.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-54582.57
t190,53845.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53845.57
t191,51903.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51903.57
t192,50359.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50359.57
t193,49610.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49610.57
t194,49552.569999999985,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49552.57
t195,49967.56999999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49967.57
t196,50800.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50800.57
t197,52235.491658887964,224.07834111203067,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-52459.57
t198,54333.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-55728.57
t199,58627.969776455175,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-60022.57
t200,58366.96977645518,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-59761.57
t201,55426.57172285234,722.9982771476502,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-56149.57
t202,53191.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-53191.57
t203,50776.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50776.57
t204,48525.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48525.57
t205,46409.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46409.57
t206,45489.8545100159,0.0,-485.28451001590264,0.0,-0.0,0.0,0.0,0.0,0.0,-45004.57
t207,45065.17022354483,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-43670.57
t208,44432.17022354485,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-43037.57
t209,44748.17022354483,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-43353.57
t210,45764.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-44369.57
t211,45662.51184817135,948.0581518286472,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46610.57
t212,46677.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48072.57
t213,46637.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48032.57
t214,45444.96977645515,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46839.57
t215,44356.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44356.57
t216,42052.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42052.57
t217,40492.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40492.57
t218,39714.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39714.57
t219,39308.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39308.57
t220,39788.102656736155,0.0,-486.5326567361534,0.0,-0.0,0.0,0.0,0.0,0.0,-39301.57
t221,40128.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40128.57
t222,42496.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42496.57
t223,46103.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46103.57
t224,46150.80170244947,411.7682975505371,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46562.57
t225,45535.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45535.57
t226,44646.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44646.57
t227,43569.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43569.57
t228,42348.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42348.57
t229,41307.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41307.57
t230,41560.799291232805,0.0,-921.2292912327957,0.0,-0.0,0.0,0.0,0.0,0.0,-40639.57
t231,41719.170223544854,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-40324.57
t232,41626.17022354485,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-40231.57
t233,41334.25159849169,0.0,-958.6815984916924,0.0,-0.0,0.0,0.0,0.0,0.0,-40375.57
t234,42186.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-40791.57
t235,41271.77215574785,807.7978442521423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42079.57
t236,41554.96977645516,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42949.57
t237,41044.969776455146,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42439.57
t238,40544.03653639237,508.5334636076393,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41052.57
t239,38806.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38806.57
t240,36432.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36432.57
t241,34777.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-34777.57
t242,33764.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-33764.57
t243,33336.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-33336.57
t244,33137.92002053424,0.0,-21.350020534241843,0.0,-0.0,0.0,0.0,0.0,0.0,-33116.57
t245,33616.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-33616.57
t246,35659.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35659.57
t247,39050.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39050.57
t248,39289.38738142315,1044.1826185768628,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40333.57
t249,40649.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40649.57
t250,42487.170223544854,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-41092.57
t251,42913.17022354484,0.0,-1394.6002235448423,0.0,-0.0,0.0,0.0,0.0,0.0,-41518.57
t252,41766.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41766.57
t253,41958.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41958.57
t254,42592.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42592.57
t255,43015.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43015.57
t256,43103.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43103.57
t257,42965.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42965.57
t258,42687.41370677874,123.15629322126178,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42810.57
t259,42689.60879442288,610.9612055771223,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43300.57
t260,42277.96977645517,1394.6002235448423,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43672.57
t261,42715.944460919774,231.6255390802255,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42947.57
t262,41807.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41807.57
t263,40013.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40013.57
t264,38048.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38048.57
t265,36192.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36192.57
